[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Tag[ route_check ] --START--
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Run CheckRoute Behavior [ RunTime:0.000710s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Tag[ route_check ] --END-- [ RunTime:0.001301s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 122 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Tag[ app_begin ] --START--
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000523s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000558s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | SQL: SHOW COLUMNS FROM `type` [ RunTime:0.010598s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | SQL: SELECT * FROM `type`  [ RunTime:0.003459s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8] Undefined offset: 2 ViewsAction.class.php 第 10 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | SQL: SHOW COLUMNS FROM `rack` [ RunTime:0.004202s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | SQL: SELECT COUNT(*) AS tp_count FROM `rack` WHERE ( `typeid` = '1' ) LIMIT 1   [ RunTime:0.002816s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | SQL: SELECT * FROM `rack` WHERE ( `typeid` = '1' ) ORDER BY id LIMIT 0,9   [ RunTime:0.000577s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Tag[ view_template ] --START--
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Run LocationTemplate Behavior [ RunTime:0.000995s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Tag[ view_template ] --END-- [ RunTime:0.001051s ]
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | INFO: Tag[ view_parse ] --START--
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-18T15:33:11+08:00 ] /jstc/jstc/views | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
