[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Tag[ route_check ] --START--
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Run CheckRoute Behavior [ RunTime:0.000346s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Tag[ route_check ] --END-- [ RunTime:0.000414s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 122 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Tag[ app_begin ] --START--
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000247s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000273s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | SQL: SHOW COLUMNS FROM `menu` [ RunTime:0.002613s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | SQL: SELECT * FROM `menu` WHERE ( `fid` = '3' )  [ RunTime:0.000194s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8] Undefined offset: 3 GongyiAction.class.php 第 10 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8] Undefined variable: news GongyiAction.class.php 第 13 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Tag[ view_template ] --START--
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Run LocationTemplate Behavior [ RunTime:0.000542s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Tag[ view_template ] --END-- [ RunTime:0.000573s ]
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | INFO: Tag[ view_parse ] --START--
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-21T12:52:15+08:00 ] /jstc/jstc/gongyi | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
