[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Tag[ route_check ] --START--
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Run CheckRoute Behavior [ RunTime:0.000334s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000384s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 122 行.
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Tag[ app_begin ] --START--
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000184s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000204s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | SQL: SHOW COLUMNS FROM `menu` [ RunTime:0.001427s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | SQL: SELECT * FROM `menu` WHERE ( `fid` = '1' )  [ RunTime:0.000425s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.002178s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | SQL: SELECT * FROM `news` WHERE ( `menuId` = '8' )  [ RunTime:0.000716s ]
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Tag[ view_template ] --START--
[ 2015-11-23T13:49:37+08:00 ] /jstc/jstc/about/index/id/8 | INFO: Run LocationTemplate Behavior [ RunTime:0.000257s ]
