[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Tag[ route_check ] --START--
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Run CheckRoute Behavior [ RunTime:0.000470s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000534s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 122 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Tag[ app_begin ] --START--
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000380s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000421s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | SQL: SHOW COLUMNS FROM `menu` [ RunTime:0.001810s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | SQL: SELECT * FROM `menu` WHERE ( `fid` = 0 )  [ RunTime:0.000265s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Tag[ view_template ] --START--
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Run LocationTemplate Behavior [ RunTime:0.000211s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000249s ]
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | INFO: Tag[ view_parse ] --START--
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-18T16:46:46+08:00 ] /jstc/jstc/Admin/type_add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
